dataset,horizon_h,mode,gap_filter,comparison,DM_HLN,p_HLN,p_bootstrap,agree_at_5pct
penmanshiel,12,corrected,filt,PatchTST_vs_LinearRegression,0.5441,0.5865,0.5824,True
penmanshiel,12,corrected,filt,LSTM_vs_MLP,2.7655,0.0058,0.007,True
penmanshiel,18,corrected,filt,MLP_vs_LinearRegression,-0.6578,0.5108,0.5015,True
penmanshiel,18,corrected,filt,LSTM_vs_LinearRegression,0.7687,0.4423,0.4326,True
penmanshiel,18,corrected,filt,GRU_vs_LinearRegression,-1.5091,0.1316,0.1399,True
penmanshiel,18,corrected,filt,DLinear_vs_LinearRegression,1.5437,0.123,0.1329,True
penmanshiel,18,corrected,filt,PatchTST_vs_LinearRegression,-0.7372,0.4611,0.4106,True
penmanshiel,18,corrected,filt,LSTM_vs_MLP,1.214,0.225,0.2498,True
penmanshiel,1,corrected,filt,MLP_vs_LinearRegression,0.2543,0.7993,0.7902,True
penmanshiel,1,corrected,filt,LSTM_vs_LinearRegression,-0.6111,0.5413,0.6284,True
penmanshiel,1,corrected,filt,GRU_vs_LinearRegression,-2.1671,0.0305,0.0529,False
penmanshiel,1,corrected,filt,DLinear_vs_LinearRegression,2.6327,0.0086,0.022,True
penmanshiel,1,corrected,filt,PatchTST_vs_LinearRegression,10.1998,0.0,0.001,True
penmanshiel,1,corrected,filt,LSTM_vs_MLP,-0.8409,0.4006,0.4106,True
penmanshiel,24,corrected,filt,MLP_vs_Climatology,0.4771,0.6334,0.6314,True
penmanshiel,24,corrected,filt,LSTM_vs_Climatology,0.572,0.5674,0.5904,True
penmanshiel,24,corrected,filt,GRU_vs_Climatology,0.2487,0.8037,0.8072,True
penmanshiel,24,corrected,filt,DLinear_vs_Climatology,0.4529,0.6507,0.6593,True
penmanshiel,24,corrected,filt,PatchTST_vs_Climatology,-0.3758,0.7071,0.7193,True
penmanshiel,24,corrected,filt,LSTM_vs_MLP,0.5673,0.5707,0.5265,True
penmanshiel,2,corrected,filt,MLP_vs_LinearRegression,-0.9027,0.3669,0.3786,True
penmanshiel,2,corrected,filt,LSTM_vs_LinearRegression,-1.2024,0.2295,0.2567,True
penmanshiel,2,corrected,filt,GRU_vs_LinearRegression,-1.5641,0.1181,0.1588,True
penmanshiel,2,corrected,filt,DLinear_vs_LinearRegression,2.3077,0.0212,0.03,True
penmanshiel,2,corrected,filt,PatchTST_vs_LinearRegression,6.1832,0.0,0.001,True
penmanshiel,2,corrected,filt,LSTM_vs_MLP,-0.0062,0.995,0.995,True
penmanshiel,36,corrected,filt,MLP_vs_Climatology,1.0828,0.2791,0.2837,True
