dataset,horizon_h,mode,model,nRMSE_mean,nRMSE_std,MAE_kW,is_benchmark
kelmarsh,48,corrected,PatchTST,32.361,0.4098,555.46,False
penmanshiel,1,corrected,Persistence,11.582,0.0,147.77,True
penmanshiel,1,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,1,corrected,Climatology,35.3736,0.0,608.23,True
penmanshiel,1,corrected,LinearRegression,11.5371,0.0,162.55,True
penmanshiel,1,corrected,MLP,11.6514,0.1229,160.74,False
penmanshiel,1,corrected,LSTM,11.6406,0.1416,162.4,False
penmanshiel,1,corrected,GRU,11.6077,0.1815,159.33,False
penmanshiel,1,corrected,DLinear,12.2671,0.3893,169.99,False
penmanshiel,1,corrected,PatchTST,17.2596,0.8385,239.71,False
penmanshiel,2,corrected,Persistence,16.8051,0.0,214.85,True
penmanshiel,2,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,2,corrected,Climatology,35.3669,0.0,608.25,True
penmanshiel,2,corrected,LinearRegression,16.4229,0.0,241.8,True
penmanshiel,2,corrected,MLP,16.4907,0.2487,233.74,False
penmanshiel,2,corrected,LSTM,16.4526,0.2339,238.75,False
penmanshiel,2,corrected,GRU,16.537,0.2448,238.93,False
penmanshiel,2,corrected,DLinear,17.1326,0.328,248.02,False
penmanshiel,2,corrected,PatchTST,21.3032,1.6187,309.78,False
penmanshiel,3,corrected,Persistence,20.0668,0.0,264.26,True
penmanshiel,3,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,3,corrected,Climatology,35.3628,0.0,608.19,True
penmanshiel,3,corrected,LinearRegression,19.2658,0.0,298.92,True
penmanshiel,3,corrected,MLP,19.2555,0.2209,285.83,False
penmanshiel,3,corrected,LSTM,19.4274,0.2338,297.57,False
penmanshiel,3,corrected,GRU,19.4726,0.459,295.74,False
penmanshiel,3,corrected,DLinear,20.2125,0.784,305.73,False
penmanshiel,3,corrected,PatchTST,23.8231,0.5695,363.99,False
penmanshiel,6,corrected,Persistence,27.364,0.0,373.95,True
penmanshiel,6,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,6,corrected,Climatology,35.3544,0.0,608.2,True
penmanshiel,6,corrected,LinearRegression,25.4901,0.0,435.0,True
penmanshiel,6,corrected,MLP,25.3132,0.4778,415.95,False
penmanshiel,6,corrected,LSTM,25.8171,0.7916,421.71,False
penmanshiel,6,corrected,GRU,25.5946,0.6059,423.69,False
penmanshiel,6,corrected,DLinear,27.3696,0.7682,467.37,False
penmanshiel,6,corrected,PatchTST,28.6538,0.705,473.86,False
penmanshiel,12,corrected,Persistence,35.1011,0.0,517.87,True
penmanshiel,12,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,12,corrected,Climatology,35.3482,0.0,608.91,True
penmanshiel,12,corrected,LinearRegression,32.0,0.0,588.6,True
penmanshiel,12,corrected,MLP,32.4349,0.8239,594.33,False
penmanshiel,12,corrected,LSTM,33.477,1.9004,610.05,False
penmanshiel,12,corrected,GRU,32.9273,1.6451,601.37,False
penmanshiel,12,corrected,DLinear,33.2423,1.9913,593.27,False
penmanshiel,12,corrected,PatchTST,33.375,0.809,602.17,False
penmanshiel,18,corrected,Persistence,39.1073,0.0,584.92,True
penmanshiel,18,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,18,corrected,Climatology,35.3424,0.0,609.7,True
penmanshiel,18,corrected,LinearRegression,34.6145,0.0,646.43,True
penmanshiel,18,corrected,MLP,34.6634,0.7371,649.94,False
penmanshiel,18,corrected,LSTM,35.5417,1.5983,664.58,False
penmanshiel,18,corrected,GRU,34.3609,1.2032,636.08,False
penmanshiel,18,corrected,DLinear,35.708,2.8635,644.13,False
penmanshiel,18,corrected,PatchTST,34.9816,0.935,605.66,False
penmanshiel,24,corrected,Persistence,42.5951,0.0,649.31,True
penmanshiel,24,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,24,corrected,Climatology,35.3172,0.0,610.01,True
penmanshiel,24,corrected,LinearRegression,35.8659,0.0,677.82,True
penmanshiel,24,corrected,MLP,37.2343,1.2033,707.59,False
penmanshiel,24,corrected,LSTM,36.9626,1.1235,699.02,False
penmanshiel,24,corrected,GRU,35.9242,0.53,677.75,False
penmanshiel,24,corrected,DLinear,37.4444,2.0935,695.17,False
penmanshiel,24,corrected,PatchTST,35.0861,0.8624,623.57,False
penmanshiel,36,corrected,Persistence,49.1863,0.0,778.87,True
penmanshiel,36,corrected,SeasonalPersistence,48.8603,0.0,773.29,True
penmanshiel,36,corrected,Climatology,35.275,0.0,611.45,True
penmanshiel,36,corrected,LinearRegression,37.8338,0.0,724.38,True
penmanshiel,36,corrected,MLP,39.0332,1.2606,744.6,False
penmanshiel,36,corrected,LSTM,39.0252,1.654,741.55,False
penmanshiel,36,corrected,GRU,38.8172,1.3202,738.01,False
penmanshiel,36,corrected,DLinear,38.4471,1.3777,721.75,False
penmanshiel,36,corrected,PatchTST,36.6752,1.4732,667.78,False
penmanshiel,48,corrected,Persistence,48.8603,0.0,773.29,True
penmanshiel,48,corrected,SeasonalPersistence,48.8603,0.0,773.29,True
penmanshiel,48,corrected,Climatology,35.2386,0.0,612.95,True
penmanshiel,48,corrected,LinearRegression,38.3602,0.0,734.42,True
penmanshiel,48,corrected,MLP,39.8098,2.0996,753.75,False
penmanshiel,48,corrected,LSTM,39.5385,2.4093,747.36,False
penmanshiel,48,corrected,GRU,38.8978,1.3349,737.88,False
penmanshiel,48,corrected,DLinear,38.6616,3.0473,721.23,False
penmanshiel,48,corrected,PatchTST,36.1777,1.2691,676.1,False
